		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24414.046875	M = 12500000	N = 8	m = 9	n = 100000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010101111 24448 24437 24178 24180 24289 24047 24209 24345 13.106037 0.108253 SUCCESS  63
010110011 24667 24419 24226 24679 24645 24312 24222 24460 11.537226 0.173077 SUCCESS  64
010110111 24182 24178 23906 24051 24233 24612 24490 24123 28.043333 0.000466 FAILURE  65
010111011 24526 24368 24346 24451 24359 24242 24508 24373  2.702659 0.951611 SUCCESS  66
010111111 24052 24107 24169 24093 23940 24135 23908 24343 40.341303 0.000003 FAILURE  67
011000111 24485 24559 24735 24407 24309 24491 24452 24343  6.463086 0.595505 SUCCESS  68
011001111 24609 24360 24625 24536 24536 24565 24587 24456  7.186827 0.516616 SUCCESS  69
011010111 24176 24280 24274 24275 24116 24303 24276 24207 11.721628 0.164063 SUCCESS  70
011011111 24172 23953 24291 24079 24287 24425 24440 24172 20.084742 0.010020 SUCCESS  71
011101111 24295 24346 24292 24471 24386 24258 24306 24465  3.234666 0.918779 SUCCESS  72
011111111 23915 23962 24025 23900 23937 23804 23944 23857 84.732229 0.000000 FAILURE  73
100000000 24013 24005 23902 24068 23992 24077 23859 23963 64.115354 0.000000 FAILURE  74
100010000 24228 24206 24314 24485 24387 24308 24552 24402  5.257468 0.729736 SUCCESS  75
100100000 24326 24034 24540 24217 24235 24338 24210 24344 12.339818 0.136674 SUCCESS  76
100101000 24230 24295 24154 24301 24233 24250 24283 24355  8.846107 0.355444 SUCCESS  77
100110000 24597 24621 24672 24673 24338 24840 24740 24584 22.549539 0.003993 FAILURE  78
100111000 24665 24773 24695 24645 24440 24461 24612 24594 16.885063 0.031328 SUCCESS  79
101000000 24099 24036 24200 24236 24090 24281 24096 23856 36.222209 0.000016 FAILURE  80
101000100 24318 24441 24356 24388 24230 24529 24364 24433  2.709382 0.951252 SUCCESS  81
101001000 24280 24306 24436 24217 24037 24439 24276 24689 12.980959 0.112506 SUCCESS  82
101001100 24535 24674 24744 24516 24521 24579 24617 24675 14.803088 0.063089 SUCCESS  83
101010000 24356 24262 24338 24359 24383 24313 24484 24190  4.303008 0.828803 SUCCESS  84
101010100 24640 24521 24353 24327 24254 24474 24374 24802 10.808528 0.212786 SUCCESS  85
101011000 24349 24469 24571 24490 24320 24313 24294 24431  3.025324 0.932758 SUCCESS  86
101011100 24512 24412 24501 24466 24747 24610 24685 24305 10.778989 0.214539 SUCCESS  87
101100000 24195 24139 24101 24328 24425 24074 24191 24284 17.431725 0.025915 SUCCESS  88
101100100 24421 24137 24338 24153 24402 24376 24176 24378  8.909307 0.350004 SUCCESS  89
101101000 24246 24231 24287 24424 24305 24203 24123 24202 11.188626 0.191239 SUCCESS  90
101101100 24195 24479 24505 24234 24489 24264 24196 24607  8.718949 0.366557 SUCCESS  91
101110000 24290 24043 24087 24377 24380 24037 24377 24361 17.323980 0.026907 SUCCESS  92
101110100 24379 24358 24071 24595 24144 24124 24395 24259 14.245786 0.075580 SUCCESS  93
101111000 24455 24487 24377 24364 24285 24483 24286 24465  2.172409 0.975265 SUCCESS  94
101111100 24311 24062 24285 23967 24403 24307 24064 24328 20.868891 0.007504 FAILURE  95
110000000 24514 24363 24268 24584 24343 24058 24484 24426  8.459086 0.389956 SUCCESS  96
110000010 24591 24612 24363 24563 24633 24400 24550 24694 10.180103 0.252612 SUCCESS  97
110000100 24574 24357 24294 24271 24231 24410 24251 24493  5.509935 0.701939 SUCCESS  98
110001000 24204 24204 24506 24674 24560 24557 24664 24643 13.595662 0.092932 SUCCESS  99
110001010 24608 24537 24662 24635 24541 24568 24813 24408 15.339084 0.052878 SUCCESS 100
110010000 24633 24645 24638 24515 24710 24745 24577 24755 21.248909 0.006515 FAILURE 101
110010010 24472 24363 24577 24571 24666 24594 24493 24509  7.128857 0.522796 SUCCESS 102
110010100 24694 24391 24496 24531 24671 24710 24538 24393 11.384772 0.180836 SUCCESS 103
110011000 24665 24725 24847 24664 24610 24757 24954 24851 44.403960 0.000000 FAILURE 104
110011010 24805 24696 24697 24494 24680 24442 24767 24631 23.808136 0.002468 FAILURE 105
110100000 23977 24231 24182 24375 24221 24262 24099 23859 31.673497 0.000107 FAILURE 106
110100010 24355 24399 24156 24307 24263 24303 24424 24590  6.268802 0.617150 SUCCESS 107
110100100 24314 24549 24144 24229 24029 24080 24581 24306 18.420420 0.018286 SUCCESS 108
110101000 24277 24137 24290 24235 24341 24294 24503 24184  9.471651 0.304082 SUCCESS 109
110101010 24734 24510 24217 24430 24269 24432 24463 24609  8.999664 0.342324 SUCCESS 110
110101100 24415 24254 24321 24543 24394 24274 24051 24340  8.820897 0.357630 SUCCESS 111
110110000 24453 24254 24378 24631 24672 24171 24495 24808 15.373372 0.052279 SUCCESS 112
110110010 24346 24628 24376 24110 24457 24428 24278 24314  7.408080 0.493310 SUCCESS 113
110110100 24406 24535 24471 24265 24298 24203 24332 24130  7.862202 0.447045 SUCCESS 114
110111000 24375 24077 24296 24419 24447 24349 24329 24435  6.019202 0.645081 SUCCESS 115
110111010 24308 24573 23850 24500 24312 24441 24716 24219 21.285367 0.006427 FAILURE 116
110111100 24540 24589 24417 24564 24252 24720 24325 24552  9.142496 0.330418 SUCCESS 117
111000000 24441 24483 24371 24497 24349 24235 24453 24487  2.429461 0.964939 SUCCESS 118
111000010 24714 24190 24450 24374 24504 24585 24423 24281  8.395532 0.395817 SUCCESS 119
111000100 24383 24302 24677 24670 24497 24498 24234 24670 11.016741 0.200752 SUCCESS 120
111000110 24436 24383 24650 24314 24503 24596 24388 24350  4.784436 0.780348 SUCCESS 121
111001000 24758 24693 24695 24752 24785 25147 24555 24680 48.920452 0.000000 FAILURE 122
111001010 24537 24598 24476 24274 24730 24768 24668 24492 15.594575 0.048565 SUCCESS 123
111001100 24725 24623 24931 24752 24795 24759 24758 24574 39.393106 0.000004 FAILURE 124
111010000 24197 24370 24607 24609 24427 24596 24294 24406  7.288676 0.505831 SUCCESS 125
111010010 24465 24399 24366 24577 24236 24332 24693 24421  6.269443 0.617078 SUCCESS 126
111010100 24050 24601 24330 24231 24446 24327 24511 24286 10.271626 0.246477 SUCCESS 127
111010110 24203 24261 24156 24310 24260 24217 24060 24448 14.169036 0.077465 SUCCESS 128
111011000 24787 24405 24554 24902 24694 24776 24536 24817 33.193832 0.000057 FAILURE 129
111011010 24687 24584 24567 24478 24210 24151 24315 24196 12.670003 0.123719 SUCCESS 130
111011100 24672 24446 24813 24733 24577 24413 24780 24345 20.916422 0.007373 FAILURE 131
111100000 24430 24348 24181 24091 24186 24319 23989 23918 27.582991 0.000560 FAILURE 132
111100010 24022 24140 24413 24201 23990 24193 23995 24362 28.859317 0.000336 FAILURE 133
